はこ 箱 箱子；盒子；容器等
きんがく 金額 金额，款项
きんぎょ 金魚 金鱼，一种通常被饲养在鱼缸或池塘中，具有观赏价值的鱼类。
きんメダル 金メダル 金牌，在体育比赛等中获得的最高荣誉的奖牌，通常由黄金制成或镀有黄金，象征着第一名的成绩。
くぎ 釘 钉子；（比赛等的）定胜负的关键因素
はり 針 1. 针（缝纫、刺绣、医疗等用的细长尖锐的工具）；2. 针状物（如松针等）；3. 指针（钟表、仪表等的指针）；4. 刺（用针等刺的动作或感觉）
はりがね 針金 铁丝；钢丝；金属丝；弦（乐器的弦）
つられる 釣られる 1. （被）引诱，（被）诱骗；2. （被）吸引，（被）打动；3. （被）影响，（受）牵连
つり 釣り 钓鱼；（找的）零钱，零头
つりあう 釣り合う 1. （物体等）保持平衡，均衡；2. （事物、数量、力量等）相称，平衡，协调
つりぜに 釣り銭 找的零钱，找头，找回的钱
つる 釣る 他动词，钓，钓鱼；引诱，诱惑；（用计）骗取，诈取
にぶい 鈍い 1. （感觉、反应等）迟钝，迟缓；2. （光线、颜色等）暗淡，不鲜明；3. （声音、气氛等）沉闷，低沉
にぶる 鈍る 1.（刃物等）变钝，不锋利；2.（感觉、反应、头脑等）变得迟钝，不灵敏；3.（势头、力量等）变弱，减退
どんかん 鈍感 感觉迟钝，反应不灵敏，对事物的变化、刺激等感知迟缓
すず 鈴 铃，铃铛；（形状像铃的）钟状物；（自行车等的）车铃；（风铃、门铃等的）铃
てつ 鉄 铁；铁器；钢铁工业；坚强，坚定
てつどう 鉄道 铁路，铁道（指由钢轨、枕木、道床等组成的供火车等交通工具行驶的道路设施，也可指代铁路运输系统或铁路相关的事物）
てっこうせき 鉄鉱石 铁矿石，指含有可提炼出铁的化合物的矿石，是钢铁生产的重要原料
なまり 鉛 铅，一种金属元素，符号Pb，原子序数82，银灰色，质软，熔点低，耐腐蚀，可用作耐硫酸腐蚀、防放射性射线的材料，也用于制造合金、蓄电池、电缆的外皮等。
えんぴつ 鉛筆 铅笔
はち 鉢 盆，钵；花盆；（佛）钵；（计算）钵（容量单位，1钵等于1升的十分之一）
こうぶつ 鉱物 矿物，指在地质作用下形成的具有一定化学成分和物理性质的天然单质或化合物，是构成岩石和矿石的基本单元。
こうせき 鉱石 矿石，含有有用矿物并有开采价值的岩石或矿物集合体。
ぎん 銀 1. 银（金属元素，化学符号Ag，具有良好的导电性、导热性和延展性，常用于制作货币、首饰、器皿等）；2. 银钱，银（作为货币的银，也泛指钱财）；3. 银色（像银一样的颜色，通常为白色中略带光泽的颜色）
ぎんしょく 銀色 银色，银白色；也可用于形容具有银色外观的事物或状态
ぎんこう 銀行 银行，办理存款、贷款、汇兑、储蓄等业务的金融机构。
ぎんこういん 銀行員 银行职员，银行工作人员
じゅう 銃 枪，步枪；炮；猎枪；（台球）球杆头
せんとう 銭湯 公共澡堂，是日本传统的公共洗浴场所，一般设有大浴池、更衣室等设施，人们可以在此洗浴放松。
するどい 鋭い 1. 尖锐，锋利（如刀具、笔尖等物体的形状或质地锋利）；2. 敏锐，灵敏（如感觉、洞察力、思维等敏锐）；3. 强烈，激烈（如疼痛、光线、气味等强烈）
さびる 錆びる 生锈；（金属等）被氧化；（事物）变得陈旧、古板
じょうざい 錠剤 药丸，药片，指将药物等制成的固体剂型，通常为圆形或椭圆形，便于服用
さくかく 錯覚 错觉，幻觉，对事物产生的与实际情况不符的错误认知或感觉
さっかくする 錯覚する （产生）错觉，误以为
さくご 錯誤 错误；失误；不符合事实、道理的地方，错谬
ろくが 録画 录像，录制（节目等）
ろくおんする 録音する 录音，录制声音
なべ 鍋 锅；火锅；砂锅（用于烹饪、盛装食物等的器具，也可指用锅烹制的菜肴，如火锅等）
なべもの 鍋物 火锅，指以锅为器具，以热源烧锅，以水或汤烧开来涮煮各类食物的料理方式，也可指这类料理的成品
きたえる 鍛える 1. 锤炼，锻造（金属等）；2. 锻炼（身心、技能等）；3. 磨练（意志、本领等）
きたえあげる 鍛え上げる （通过反复练习、训练等）充分锻炼，精心培养，锻造好
かぎ 鍵 钥匙；锁；关键，要害
くさり 鎖 1. 锁链，链子；2. 联系，关系，纽带
しずまる 鎮まる 1. （声音、风波、心情等）平息，平复，平静下来；2. （疼痛、瘙痒等）止住，消去；3. （人群、活动等）安静下来，静息
ちんつうざい 鎮痛剤 止痛药，镇痛剂
かがみ 鏡 镜子；（平静的水面等）镜面；榜样，典范
しょう 鐘 钟（一种计时或报时的器具，也可指钟声）
かんてい 鑑定 鉴定，鉴别；评定，评价；估价，鉴定价格
かんしょう 鑑賞 鉴赏，欣赏（艺术品、戏剧、音乐、风景等）
なが々 長々 1. 冗长地，啰嗦地；2. （时间）长久地，漫长地；3. （物体、身体等）长长地，伸展地
ながい 長い 长的；（时间）久远的；（长度、距离等）漫长的；（文章、讲话等）冗长的
ながさ 長さ 长度；（时间的）长短
ちょうじょう 長城 中国的著名古代防御工程，也是世界文化遗产之一，又称万里长城。
ちょうじょ 長女 长女，最大的女儿
ちょうじゅくに 長寿国 指人均寿命较长、长寿人口比例较高的国家。
ながい 長居 长时间停留、久坐、久居
ながねん 長年 名词：多年，长年累月；副词：多年来，长期以来
ながびく 長引く （时间、状态等）拖延，拖长，持续很久
ちょうしょ 長所 长处，优点
ながもち 長持ち 耐用，持久；耐穿，经穿；长时间保持（某种状态）
ちょうほうけい 長方形 长方形，矩形
ちょうじかん 長時間 长时间，很久
ちょうき 長期 长期，长时间（与“短期”相对，指持续时间较长的时期）
ちょうきよほう 長期予報 长期预报（通常用于气象、地震等领域对未来较长一段时间情况的预测）
ちょうなん 長男 长子，指家庭中出生顺序最靠前的儿子
ながつづき 長続き 长久持续，持久（常以「～する」「～がする」等形式作为动词使用，表示某种状态、事物等长时间地维持下去）
ちょうへん 長編 长篇（一般用于形容小说、文章、电影、戏剧等的篇幅较长）
ちょうだ 長蛇 长蛇；（人、车辆等）排成很长的队伍
ながそで 長袖 长袖；长袖衣服
ちょうきょり 長距離 长途；远程（指距离较长的情况，常用于描述交通、通信、运输等方面的长距离状态，如长距离运输、长距离通话、长距离跑步等）
ながら 長閑 1. （天气）晴朗的，风和日丽的；2. （氛围、环境等）恬静的，悠闲的，闲适的
ながあめ 長雨 连日降雨，长时间的降雨，持续多日的降雨
ながぐつ 長靴 靴子，长筒靴（一般指比较长、能覆盖到小腿部分甚至更长的靴子，常用于雨天、雪地等场景穿着，以起到防水、保暖等作用）
もん 門 名词，意为城门、门、大门，也可用于比喻义，如‘心の門’（心门），还可用于一些专有名称、机构名称等，如‘学問の門’（学问之门）、‘銀行の門’（银行的大门）等
かどまつ 門松 门松，新年时为了迎接年神，在门前装饰的用松枝、竹子等做成的装饰物。
もんげん 門限 （学校、公司、宿舍等规定的）关门时间，门禁时间
ひらめく 閃く 1. 闪耀，闪烁（光が点灭したり、きらきらと輝いたりする）；2. （旗子等）飘扬（旗などが風になびく）；3. 突然想到（主意、灵感等）（アイデアや着想が突然浮かぶ）
とざす 閉ざす 1. 关闭，封闭（出入口、通道等，使其不能通行或进入；也可用于关闭门窗、电器等）；2. 封锁（信息、消息等，使其不被外界知晓；或封锁某个区域，限制人员进出等）；3. 憋在心里，隐藏（情感、想法等，不向他人表露）
とじこもる 閉じこもる 闭门不出，闷在（家里等）；也可引申为精神上封闭自己，不与外界交流
とじる 閉じる 1. 关闭，合上（如关闭门窗、书本等）；2. 结束（如结束会议、活动等）；3. 封锁，封闭（如封锁道路、区域等）；4. （眼睛、嘴等）闭上，合上
しまります 閉まります （门、窗、盖子等）关闭，关上；（店铺、场所等）关门，打烊；（会议、活动等）结束，闭幕
しめます 閉めます 关闭（门、窗、抽屉等）；合上（书本、伞等）；堵塞（洞口、缝隙等）；结束（会议、活动等）；停止（营业、播放等）
へいかい 閉会 闭会，散会；闭幕（会议、活动等结束，正式宣布结束的行为或状态）
へいこう 閉口 1. （作为名词）指因无奈、苦恼等而说不出话的状态，或感到难以忍受、为难的心情。2. （作为动词）①闭口不言，缄口不语；②（因某事）感到受不了、为难、无计可施。
へいそく 閉塞 1. （道路、管道等）阻塞，闭塞，堵塞；2. （思路、社会等）封闭，停滞，僵化
へいてんする 閉店する （商店、店铺等）关门，停业，歇业
へいてんじこく 閉店時刻 名词，指店铺停止营业、关门的时间
へいさ 閉鎖 关闭，封锁；（交通、通信、经济等方面的）封锁，断绝
へいさ 閉鎖 关闭，封闭；封锁（道路、场所、信息等，使其无法通行、进入或传播）
ひらきます 開きます 打开；张开；展开；（店铺、活动等）开张，开业；（会议、活动等）开始，召开
あく 開く 1. 开，打开（门、窗、书等）；2. （店铺、活动等）开张，开业，举办；3. （会议、集会等）召开；4. （花朵等）开放；5. （空间、间隔等）变宽，开阔
